operator_name,parent_company
"Rio Bravo Windpower, LLC","Rio Bravo Windpower, LLC"
Engie North America,Engie North America
"Torrecillas Wind Energy, LLC","Torrecillas Wind Energy, LLC"
Antrim Wind Energy LLC,Antrim Wind Energy LLC
Prairie Queen Wind Farm LLC,Prairie Queen Wind Farm LLC
Big Level Wind LLC,Big Level Wind LLC
"Heartland Divide Wind Project, LLC",Heartland
"Sholes Wind Energy Center, LLC","Sholes Wind Energy Center, LLC"
"WED Shun III, LLC","WED Shun III, LLC"
"WED Shun II, LLC","WED Shun II, LLC"
"WED Shun I, LLC","WED Shun I, LLC"
"WED Plainfield III, LLC","WED Plainfield III, LLC"
"WED Green Hill, LLC","WED Green Hill, LLC"
"WED Plainfield, LLC","WED Plainfield, LLC"
"WED Plainfield II, LLC","WED Plainfield II, LLC"
Pecos Wind II LP,Pecos
Pecos Wind I LP,Pecos
NWP Indian Mesa Wind Farm LP,NWP Indian Mesa Wind Farm LP
FPL Energy Langdon Wind LLC,FPL Energy
Ranchero Wind Farm LLC,Ranchero Wind Farm LLC
OEE XXX LLC,OEE
"Lockett Windfarm, LLC","Lockett Windfarm, LLC"
Fluvanna Wind Energy 2 LLC,Fluvanna Wind Energy 2 LLC
"Foard City Wind, LLC","Foard City Wind, LLC"
"Emmons-Logan Wind, LLC","Emmons-Logan Wind, LLC"
"Green River Wind Farm Phase 1, LLC","Green River Wind Farm Phase 1, LLC"
"High Lonesome Wind Power, LLC","High Lonesome Wind Power, LLC"
"Crocker Wind Farm, LLC","Crocker Wind Farm, LLC"
FPL Energy Crystal Lake Wind LLC,FPL Energy
"Crowned Ridge Wind, LLC","Crowned Ridge Wind, LLC"
"White Cloud Wind Project, LLC","White Cloud Wind Project, LLC"
Mesteno Wind,Mesteno Wind
"Bronco Plains Wind, LLC","Bronco Plains Wind, LLC"
Willow Creek Wind Power LLC,Willow Creek Wind Power LLC
"Aurora Wind Project, LLC","Aurora Wind Project, LLC"
"Milligan 1 Wind, LLC","Milligan 1 Wind, LLC"
"Blazing Star Wind Farm, LLC","Blazing Star Wind Farm, LLC"
Lexington Chenoa Wind Farm LLC,Lexington Chenoa Wind Farm LLC
Whitney Hill Wind Power LLC,Whitney Hill Wind Power LLC
Mesquite Star LLC,Mesquite
Hidalgo Wind Farm II LLC,Hidalgo Wind Farm II LLC
Coyote Ridge LLC,Coyote Ridge LLC
"Clear Creek Wind, LLC","Clear Creek Wind, LLC"
AES Distributed Energy,AES
"FPL Energy Hancock County Wind, LLC",FPL Energy
OEE XXVIII LLC,OEE
"Sage Draw Wind, LLC","Sage Draw Wind, LLC"
"Blue Summit III Wind, LLC",Blue Summit
"Nobles 2 Power Partners, LLC","Nobles 2 Power Partners, LLC"
Harvest Ridge Wind Farm,Harvest
Paulding Wind Farm IV LLC,Paulding Wind Farm IV LLC
"Mountain Breeze Wind, LLC","Mountain Breeze Wind, LLC"
"Pegasus Wind, LLC","Pegasus Wind, LLC"
"Roundhouse Renewable Energy, LLC","Roundhouse Renewable Energy, LLC"
Na Pua Makani Power Partners LLC,Na Pua Makani Power Partners LLC
Scout Clean Energy LLC,Scout Clean Energy LLC
"Cedar Springs Wind III, LLC","Cedar Springs Wind III, LLC"
"Plum Creek Wind, LLC","Plum Creek Wind, LLC"
Union Electric Co - (MO),Union Electric Co - (MO)
"Wheatridge Wind Holdings, LLC","Wheatridge Wind Holdings, LLC"
Sugar Creek Wind One LLC,Sugar Creek Wind One LLC
"Cedar Springs Wind, LLC","Cedar Springs Wind, LLC"
Southwestern Public Service Co,Southwestern Public Service Co
"Bitter Ridge Wind Farm, LLC","Bitter Ridge Wind Farm, LLC"
"Ponderosa Wind, LLC","Ponderosa Wind, LLC"
"Jordan Creek Wind Farm, LLC","Jordan Creek Wind Farm, LLC"
Soldier Creek Wind LLC,Soldier Creek Wind LLC
Empire District Electric Co,Empire District Electric Co
"Rattlesnake Flat, LLC",Rattlesnake
Cerro Gordo Wind Farm,Cerro Gordo Wind Farm
Mohave County Wind Farm,Mohave County Wind Farm
"Rock County Wind Fuel, LLC",Rock County
Osceola Windpower LLC,Osceola
Osceola Windpower II,Osceola
FPL Energy Ashtabula Wind LLC,FPL Energy
Elbow Creek Wind Project LLC,Elbow Creek Wind Project LLC
Wilton Wind II LLC,Wilton Wind II LLC
Wessington Wind,Wessington Wind
Black Hills Service Company LLC,Black Hills
"Enel Kansas, LLC",Enel
Amadeus Wind LLC,Amadeus Wind LLC
Burke Wind LLC,Burke Wind LLC
Skeleton Creek Energy Center,Skeleton Creek Energy Center
Rosewater Wind Farm LLC,Rosewater Wind Farm LLC
