operator_name,parent_company
Butler Ridge Wind Energy Center,Butler Ridge Wind Energy Center
Logan Wind Energy LLC,Logan Wind Energy LLC
Montana-Dakota Utilities Co,Montana-Dakota Utilities Co
Bennett Creek Windfarm LLC,Bennett Creek Windfarm LLC
"Hot Springs Windfarm, LLC","Hot Springs Windfarm, LLC"
Portland General Electric Co,Portland General Electric Co
Arlington Wind Power Project LLC,Arlington Wind Power Project LLC
Wheat Field Wind Power Project LLC,Wheat Field Wind Power Project LLC
NextEra Energy Majestic Wind,NextEra
Sherbino Mesa I Windfarm LLC,Sherbino Mesa I Windfarm LLC
Bull Creek Wind LLC,Bull Creek Wind LLC
Silver Star I Power Partners LLC,Silver Star I Power Partners LLC
Hackberry Wind LLC,Hackberry Wind LLC
Mesalands Community College,Mesalands Community College
FPL Energy Crystal Lake Wind II LLC,FPL Energy
"Pioneer Prairie Wind Farm I, LLC","Pioneer Prairie Wind Farm I, LLC"
Waverly Municipal Elec Utility,Waverly Municipal Elec Utility
Exus North America Management Partners LLC,Exus North America Management Partners LLC
Rail Splitter Wind Farm LLC,Rail Splitter Wind Farm LLC
DTE Sustainable Generation,DTE
"Cassia Wind Farm, LLC",Cassia
"Cassia Gulch Wind Park, LLC",Cassia
NaturEner Glacier Wind Energy 1 LLC,NaturEner
NaturEner Glacier Wind Energy 2 LLC,NaturEner
Turlock Irrigation District,Turlock Irrigation District
Echo 1,Echo
Echo 3,Echo
NextEra Wolf Ridge LLC,NextEra
Great Plains Windpark Legacy LLC,Great Plains Windpark Legacy LLC
Duke Energy DEGS Notrees,Duke Energy
NRG Energy Inc,NRG
Los Angeles Department of Water & Power,Los Angeles Department of Water & Power
Iowa Lakes Electric Coop,Iowa Lakes
Notus Clean Energy LLC,Notus Clean Energy LLC
Blackstone Wind Farm LLC,Blackstone
"Michigan Wind 1, LLC",Michigan Wind
Massachusetts Mun Wholes Electric Co,Massachusetts
Interstate Power and Light Co,Interstate Power and Light Co
Diamond Shamrock Refining Company LP,Diamond Shamrock Refining Company LP
DeWind Co.,DeWind Co.
Langford Wind Power LLC,Langford Wind Power LLC
Windy Flats Partners LLC,Windy Flats Partners LLC
Coastal Community Action Program,Coastal Community Action Program
Duke Energy DEGS Happy Jack,Duke Energy
Duke Energy DEGS Silver Sage Wndpwr LLC,Duke Energy
Harbor Wind Tenant LLC,Harbor Wind Tenant LLC
Chevron USA,Chevron USA
Loraine Windpower Project,Loraine Windpower Project
Northern Colorado Wind LLC,Northern Colorado Wind LLC
"Red Marlin Wind Ventures, LLC","Red Marlin Wind Ventures, LLC"
NaturEner Rim Rock Energy LLC,NaturEner
PaTu Wind Farm LLC,PaTu Wind Farm LLC
Eurus Combine Hills II LLC,Eurus Combine Hills II LLC
Ashtabula Wind II LLC,Ashtabula Wind II LLC
Day County Wind LLC,Day County Wind LLC
First State Marine Wind,First State Marine Wind
FPL Energy Illinois Wind LLC,FPL Energy
Garden Wind LLC,Garden Wind LLC
FPL Energy Story Wind LLC,FPL Energy
Wisconsin Electric Power Co,Wisconsin Electric Power Co
"Greensburg Wind Farm, LLC","Greensburg Wind Farm, LLC"
Meadow Lake Wind Farm III LLC,Meadow Lake Wind Farm III LLC
Meadow Lake Wind Farm IV LLC,Meadow Lake Wind Farm IV LLC
Blackstone Wind Farm II LLC,Blackstone
Lost Lakes Wind Farm LLC,Lost Lakes Wind Farm LLC
Willmar Municipal Utilities,Willmar Municipal Utilities
Granite Reliable Power,Granite Reliable Power
Fox Island Wind LLC,Fox Island Wind LLC
"Helix Maine Wind Development, LLC","Helix Maine Wind Development, LLC"
White Oak Energy LLC,White Oak Energy LLC
Meadow Lake Wind Farm II LLC,Meadow Lake Wind Farm II LLC
City of Osage - (IA),City of Osage - (IA)
Loess Hills Wind Farm LLC,Loess Hills Wind Farm LLC
"Cow Branch Wind Power, LLC","Cow Branch Wind Power, LLC"
"CR Clearing, LLC","CR Clearing, LLC"
"Wind Capital Holdings, LLC","Wind Capital Holdings, LLC"
Oak Leaf Solar V LLC,Oak Leaf Solar V LLC
Crystal Lake 3 LLC,Crystal Lake 3 LLC
"ALLETE, Inc.","ALLETE, Inc."
Winona County Wind LLC,Winona County Wind LLC
Criterion Power Partners LLC,Criterion Power Partners LLC
Lincoln Electric Company,Lincoln Electric
Duke Energy DEGS Campbell Hill,Duke Energy
Harvest Wind Project TIC,Harvest
Duke Energy Top Of the World WindPower,Duke Energy
Kit Carson Windpower LLC,Kit Carson Windpower LLC
"Axium Arizona Renewables, LLC","Axium Arizona Renewables, LLC"
FPL Energy Stateline II Inc,FPL Energy
Nome Joint Utility Systems,Nome Joint Utility Systems
Blue Canyon Windpower V LLC,Blue Canyon Windpower V LLC
Elk City LLC,Elk City LLC
"Sagebrush Power Partners, LLC","Sagebrush Power Partners, LLC"
Alaska Environmental Power,Alaska Environmental Power
Unalakleet Valley Elec Coop,Unalakleet Valley Elec Coop
NRG Yield LLC,NRG
Pantex (NNSA),Pantex (NNSA)
"Vestas Towers America, Inc","Vestas Towers America, Inc"
Cedar Point LLC,Cedar Point LLC
Caithness Shepherds Flat LLC,Caithness Shepherds Flat LLC
Echo 2,Echo
Milford Wind Corridor Stage II LLC,Milford Wind Corridor Stage II LLC
Shirley Wind LLC,Shirley Wind LLC
"BEAM US, LLC","BEAM US, LLC"
Dept of Corrections NCCI Wind,Dept of Corrections NCCI Wind
Consumers Energy Co,Consumers Energy Co
EPP Renewable Energy,EPP Renewable Energy
Paulding Wind Farm II LLC,Paulding Wind Farm II LLC
Philips Lightolier,Philips Lightolier
"Bulldog Wind Energy, LLC","Bulldog Wind Energy, LLC"
Bluestem LLC,Bluestem LLC
"Marble River, LLC","Marble River, LLC"
Air Force Civil Engineer Center,Air Force Civil Engineer Center
Minnesota Municipal Power Agny,Minnesota Municipal Power Agny
Flat Water Wind Farm LLC,Flat Water Wind Farm LLC
Spruce Mountain Wind LLC,Spruce Mountain Wind LLC
Baldwin Wind LLC,Baldwin Wind LLC
"Wolverine Wind Energy, LLC","Wolverine Wind Energy, LLC"
Kirkwood Community College,Kirkwood Community College
Ashtabula Wind III LLC,Ashtabula Wind III LLC
Buffalo Center Wind LLC,Buffalo Center Wind LLC
"AEP Onsite Partners, LLC","AEP Onsite Partners, LLC"
Adams Electric Cooperative,Adams Electric Cooperative
Kingston Wind Independence,Kingston Wind Independence
"Norsemen Wind Energy, LLC","Norsemen Wind Energy, LLC"
Ridgewind Power Partners LLC,Ridgewind Power Partners LLC
"FPLE Wind, LLC","FPLE Wind, LLC"
CPV Keenan II Renewable Energy Co LLC,CPV Keenan II Renewable Energy Co LLC
Idaho Wind Partners 1 LLC,Idaho Wind Partners 1 LLC
Capital Power Corporation,Capital Power Corporation
Idaho Winds LLC,Idaho Winds LLC
Chisholm View Wind Project,Chisholm View Wind Project
Blue Canyon Windpower VI LLC,Blue Canyon Windpower VI LLC
Trinity Hills Wind Farm LLC,Trinity Hills Wind Farm LLC
"Golden Spread Electric Cooperative, Inc","Golden Spread Electric Cooperative, Inc"
Perrin Ranch Wind LLC,Perrin Ranch Wind LLC
FPL Energy Montezuma Wind,FPL Energy
Power County Wind Park North LLC,Power County Wind Park North LLC
"Vasco Winds, LLC","Vasco Winds, LLC"
Inland Empire Energy Ctr LLC,Inland Empire Energy Ctr LLC
Ralls Wind Farm LLC,Ralls Wind Farm LLC
Red Mesa Wind LLC,Red Mesa Wind LLC
Tuscola Bay Wind LLC,Tuscola Bay Wind LLC
"Michigan Wind 2, LLC",Michigan Wind
"Harvest II Windfarm, LLC",Harvest
Ironwood Windpower LLC,Ironwood Windpower LLC
Laurel Wind Energy LLC,Laurel Wind Energy LLC
Record Hill Wind LLC,Record Hill Wind LLC
"Cimarron Windpower II, LLC",Cimarron
Big Blue Wind Farm LLC (MN),Big Blue Wind Farm LLC (MN)
DTE Electric Company,DTE
Luther College Wind Energy Project LLC,Luther College Wind Energy Project LLC
Limon,Limon
MWRA Charlestown,MWRA Charlestown
"Enel Green Power NA, Inc.",Enel
Fairhaven Wind LLC,Fairhaven Wind LLC
"Shooting Star Power Partners, LLC","Shooting Star Power Partners, LLC"
"Bishop Hill Energy II, LLC","Bishop Hill Energy II, LLC"
TPW Petersburg LLC,TPW Petersburg LLC
NextEra Energy Resources Ensign Wind,NextEra
Junction Hilltop Management LLC,Junction Hilltop Management LLC
Lakeswind Power Partners,Lakeswind Power Partners
University of Minnesota Morris Campus,University of Minnesota Morris Campus
SunEdison LLC,SunEdison LLC
General Services Administration - Region 8,General Services Administration - Region 8
Cimarron Wind Energy LLC,Cimarron
"Acciona Energy USA Global, LLC",Acciona
Cooper Hatchery Inc.,Cooper Hatchery Inc.
Roth Rock Wind Farm LLC,Roth Rock Wind Farm LLC
Hamilton Wind Energy LLC,Hamilton Wind Energy LLC
Narragansett Bay Commission,Narragansett Bay Commission
Haviland Plastic Products Co,Haviland Plastic Products Co
"Los Vientos Wind 1A, LLC","Los Vientos Wind 1A, LLC"
"Los Vientos Wind 1B, LLC","Los Vientos Wind 1B, LLC"
"Foundation CA Fund V Manager, LLC","Foundation CA Fund V Manager, LLC"
Rocky Ridge Wind Project LLC,Rocky Ridge Wind Project LLC
"Black Hills Colorado Electric, LLC",Black Hills
Onward Energy,Onward Energy
"Pinyon Pines Wind I, LLC",Pinyon Pines
"NextEra Energy Montezuma Wind II, LLC",NextEra
"FPL Energy Operating Services, Inc.",FPL Energy
"High Mesa Energy, LLC","High Mesa Energy, LLC"
"Foundation HA Energy Generation, LLC","Foundation HA Energy Generation, LLC"
"Wildcat Wind, LLC","Wildcat Wind, LLC"
Foundation CA Fund VI Manager LLC,Foundation CA Fund VI Manager LLC
"Blackwell Wind, LLC","Blackwell Wind, LLC"
Power County Wind Park South LLC,Power County Wind Park South LLC
Ridgeline Energy LLC,Ridgeline Energy LLC
Golden Valley Elec Assn Inc,Golden Valley Elec Assn Inc
Gordon Butte Wind LLC,Gordon Butte Wind LLC
Auwahi Wind Energy LLC,Auwahi Wind Energy LLC
Suzlon Project VIII LLC,Suzlon Project VIII LLC
Utah Associated Mun Power Sys,Utah Associated Mun Power Sys
Caney River Wind Project,Caney River Wind Project
Scituate Wind LLC,Scituate Wind LLC
Deepwater Wind Block Island LLC,Deepwater Wind Block Island LLC
Cashton Greens Wind Farm LLC,Cashton Greens Wind Farm LLC
"Beebe Renewable Energy, LLC",Beebe
"Beebe 1B Renewable Energy, LLC",Beebe
"S.C. Johnson & Son, Inc.","S.C. Johnson & Son, Inc."
SRIV Partnership LLC,SRIV Partnership LLC
Buffalo Dunes Wind Project LLC,Buffalo Dunes Wind Project LLC
Zotos International,Zotos International
Pheasant Run Wind LLC,Pheasant Run Wind LLC
